# decaysolver — bibliothèque de nucléides
# source: ICRP Publication 107, Nuclear Decay Data for Dosimetric Calculations (2008),
#         Copyright (c) 2008 A. Endo and K.F. Eckerman ; licence : data/LICENSE.ICRP-07
# extraction: paquet radioactivedecay 0.6.1, jeu 'icrp107_ame2020_nubase2020'
# script: data/scripts/extract_icrp107.py ; date UTC: 2026-09-05
# contenu: bibliothèque complète, 1512 nucléides du jeu ICRP-107 redistribué
#          (--full)
# demi-vies: valeur et unité d'origine ICRP-107 (s, m, h, d, y) ; aucune conversion ici.
#            decaysolver convertit avec 1 y = 365,25 j (année julienne) ;
#            radioactivedecay utilise 365,2422 j : écart relatif 2e-5, à garder en tête
#            lors de l'évaluation croisée.
# incertitudes: ICRP-107 n'en fournit pas ; voir data/PROVENANCE.md.
# fission spontanée (SF): voie conservée avec fille vide, produits de fission non suivis.
# voies rétablies (absentes du jeu radioactivedecay, voir le script) : At-219 β- vers Rn-219, At-217 β- vers Rn-217
# écarts |somme des rapports - 1| > 1e-5, dus aux arrondis indépendants d'ICRP-107 :
#     Am-244m: -4.0e-04
#     Np-236: -4.0e-04
#     Tb-151: +9.5e-05
#     Dy-153: +9.4e-05
#     Ac-226: +6.0e-05
#     Fr-223: +6.0e-05
#     Es-255: +4.5e-05
#     Pu-237: +4.2e-05
#     U-231: +4.0e-05
#     Pa-230: +3.2e-05
#     Ag-115: -3.0e-05
#     Au-187: +3.0e-05
#     Pa-232: +3.0e-05
#     Hf-182m: -2.0e-05
#     Pt-184: +1.7e-05
#     Bk-249: +1.5e-05
#     Ho-154m: +1.0e-05
#     Np-233: +1.0e-05
# voies non répertoriées (déficit de somme > 5e-4 dans le jeu redistribué, fille
#   inconnue, noyaux sortant du système) : 
#     U-228: 2.5e-02
#     Es-254m: 1.6e-02
#     Es-250: 1.5e-02
#     Ac-223: 1.0e-02
#     Cm-240: 3.0e-03
#     Po-212m: 7.0e-04
#     Po-205: 6.0e-04
# une ligne par voie de décroissance ; les stables ont une seule ligne 'stable'.
nuclide;half_life_value;half_life_unit;mode;daughter;branching_fraction
Cs-132;6.479;d;beta-;Ba-132;0.0187
Cs-133;stable;;stable;;
Cs-134;2.0648;y;beta-;Ba-134;1
Cs-134;2.0648;y;beta+/EC;Xe-134;3e-06
Cs-134m;2.903;h;IT;Cs-134;1
Cs-135;2300000;y;beta-;Ba-135;1
Cs-135m;53;m;IT;Cs-135;1
Cs-136;13.16;d;beta-;Ba-136;1
Cs-137;30.1671;y;beta-;Ba-137m;0.94399
Cs-137;30.1671;y;beta-;Ba-137;0.056005
Cs-138;33.41;m;beta-;Ba-138;1
Cs-138m;2.91;m;IT;Cs-138;0.81
Cs-138m;2.91;m;beta-;Ba-138;0.19
Cs-139;9.27;m;beta-;Ba-139;1
Cs-140;63.7;s;beta-;Ba-140;1
Cu-57;0.1963;s;beta+/EC;Ni-57;1
Cu-59;81.5;s;beta+/EC;Ni-59;1
Cu-60;23.7;m;beta+/EC;Ni-60;1
Cu-61;3.333;h;beta+/EC;Ni-61;1
Cu-62;9.673;m;beta+/EC;Ni-62;1
Cu-63;stable;;stable;;
Cu-64;12.7;h;beta+/EC;Ni-64;0.61
Cu-64;12.7;h;beta-;Zn-64;0.39
Cu-65;stable;;stable;;
Cu-66;5.12;m;beta-;Zn-66;1
Cu-67;61.83;h;beta-;Zn-67;1
Cu-69;2.85;m;beta-;Zn-69;1
Dy-148;3.3;m;beta+/EC;Tb-148;1
Dy-149;4.2;m;beta+/EC;Tb-149;0.56682
Dy-149;4.2;m;beta+/EC;Tb-149m;0.43318
Dy-150;7.17;m;beta+/EC;Tb-150;0.64
Dy-150;7.17;m;alpha;Gd-146;0.36
Dy-151;17.9;m;beta+/EC;Tb-151;0.53377
Dy-151;17.9;m;beta+/EC;Tb-151m;0.41023
Dy-151;17.9;m;alpha;Gd-147;0.056
Dy-152;2.38;h;beta+/EC;Tb-152;0.999
Dy-152;2.38;h;alpha;Gd-148;0.001
Dy-153;6.4;h;beta+/EC;Tb-153;1
Dy-153;6.4;h;alpha;Gd-149;9.4e-05
Dy-154;3000000;y;alpha;Gd-150;1
Dy-155;9.9;h;beta+/EC;Tb-155;1
Dy-156;stable;;stable;;
Dy-157;8.14;h;beta+/EC;Tb-157;1
Dy-158;stable;;stable;;
Dy-159;144.4;d;beta+/EC;Tb-159;1
Dy-160;stable;;stable;;
Dy-161;stable;;stable;;
Dy-162;stable;;stable;;
Dy-163;stable;;stable;;
Dy-164;stable;;stable;;
Dy-165;2.334;h;beta-;Ho-165;1
Dy-165m;1.257;m;IT;Dy-165;0.9776
Dy-165m;1.257;m;beta-;Ho-165;0.0224
Dy-166;81.6;h;beta-;Ho-166;1
Dy-167;6.2;m;beta-;Ho-167;1
Dy-168;8.7;m;beta-;Ho-168;1
Er-154;3.73;m;beta+/EC;Ho-154;0.9953
Er-154;3.73;m;alpha;Dy-150;0.0047
Er-156;19.5;m;beta+/EC;Ho-156;1
Er-159;36;m;beta+/EC;Ho-159;1
Er-161;3.21;h;beta+/EC;Ho-161;1
Er-162;stable;;stable;;
Er-163;75;m;beta+/EC;Ho-163;1
Er-164;stable;;stable;;
Er-165;10.36;h;beta+/EC;Ho-165;1
Er-166;stable;;stable;;
Er-167;stable;;stable;;
Er-167m;2.269;s;IT;Er-167;1
Er-168;stable;;stable;;
Er-169;9.4;d;beta-;Tm-169;1
Er-170;stable;;stable;;
Er-171;7.516;h;beta-;Tm-171;1
Er-172;49.3;h;beta-;Tm-172;1
Er-173;1.434;m;beta-;Tm-173;1
Es-249;102.2;m;beta+/EC;Cf-249;0.9943
Es-249;102.2;m;alpha;Bk-245;0.0057
Es-250;8.6;h;beta+/EC;Cf-250;0.985
Es-250;8.6;h;unlisted;;0.015
Es-250m;2.22;h;beta+/EC;Cf-250;1
Es-251;33;h;beta+/EC;Cf-251;0.995
Es-251;33;h;alpha;Bk-247;0.005
Es-253;20.47;d;alpha;Bk-249;1
Es-253;20.47;d;SF;;8.9e-08
Es-254;275.7;d;alpha;Bk-250;1
Es-254;275.7;d;beta-;Fm-254;1.74e-06
Es-254;275.7;d;SF;;3e-08
Es-254m;39.3;h;beta-;Fm-254;0.98
Es-254m;39.3;h;alpha;Bk-250;0.0032
Es-254m;39.3;h;beta+/EC;Cf-254;0.00076
Es-254m;39.3;h;SF;;0.00045
Es-254m;39.3;h;unlisted;;0.01559
Es-255;39.8;d;beta-;Fm-255;0.92
Es-255;39.8;d;alpha;Bk-251;0.08
Es-255;39.8;d;SF;;4.5e-05
Es-256;25.4;m;beta-;Fm-256;1
Eu-142;2.34;s;beta+/EC;Sm-142;1
Eu-142m;1.223;m;beta+/EC;Sm-142;1
Eu-143;2.59;m;beta+/EC;Sm-143;0.99879
Eu-143;2.59;m;beta+/EC;Sm-143m;0.0012069
Eu-144;10.2;s;beta+/EC;Sm-144;1
Eu-145;5.93;d;beta+/EC;Sm-145;1
Eu-146;4.61;d;beta+/EC;Sm-146;1
Eu-147;24.1;d;beta+/EC;Sm-147;0.99998
Eu-147;24.1;d;alpha;Pm-143;2.2e-05
Eu-148;54.5;d;beta+/EC;Sm-148;1
Eu-148;54.5;d;alpha;Pm-144;9.4e-09
Eu-149;93.1;d;beta+/EC;Sm-149;1
Eu-150;36.9;y;beta+/EC;Sm-150;1
Eu-150m;12.8;h;beta-;Gd-150;0.89
Eu-150m;12.8;h;beta+/EC;Sm-150;0.11
Eu-151;stable;;stable;;
Eu-152;13.537;y;beta+/EC;Sm-152;0.721
Eu-152;13.537;y;beta-;Gd-152;0.279
Eu-152m;9.3116;h;beta-;Gd-152;0.72
Eu-152m;9.3116;h;beta+/EC;Sm-152;0.28
Eu-152n;96;m;IT;Eu-152;1
Eu-153;stable;;stable;;
Eu-154;8.593;y;beta-;Gd-154;0.9998
Eu-154;8.593;y;beta+/EC;Sm-154;0.0002
Eu-154m;46;m;IT;Eu-154;1
Eu-155;4.7611;y;beta-;Gd-155;1
Eu-156;15.19;d;beta-;Gd-156;1
Eu-157;15.18;h;beta-;Gd-157;1
Eu-158;45.9;m;beta-;Gd-158;1
Eu-159;18.1;m;beta-;Gd-159;1
F-17;64.49;s;beta+/EC;O-17;1
F-18;109.77;m;beta+/EC;O-18;1
F-19;stable;;stable;;
Fe-52;8.275;h;beta+/EC;Mn-52m;1
Fe-53;8.51;m;beta+/EC;Mn-53;1
Fe-53m;2.526;m;IT;Fe-53;1
Fe-54;stable;;stable;;
Fe-55;2.737;y;beta+/EC;Mn-55;1
Fe-56;stable;;stable;;
Fe-57;stable;;stable;;
Fe-58;stable;;stable;;
Fe-59;44.495;d;beta-;Co-59;1
Fe-60;1500000;y;beta-;Co-60m;1
Fe-61;5.98;m;beta-;Co-61;1
Fe-62;68;s;beta-;Co-62;1
Fm-251;5.3;h;beta+/EC;Es-251;0.982
Fm-251;5.3;h;alpha;Cf-247;0.018
Fm-252;25.39;h;alpha;Cf-248;0.99998
Fm-252;25.39;h;SF;;2.3e-05
Fm-253;3;d;beta+/EC;Es-253;0.88
Fm-253;3;d;alpha;Cf-249;0.12
Fm-254;3.24;h;alpha;Cf-250;0.99941
Fm-254;3.24;h;SF;;0.000592
Fm-255;20.07;h;alpha;Cf-251;1
Fm-255;20.07;h;SF;;2.3e-07
Fm-256;157.6;m;SF;;0.919
Fm-256;157.6;m;alpha;Cf-252;0.081
Fm-257;100.5;d;alpha;Cf-253;0.9979
Fm-257;100.5;d;SF;;0.0021
Fr-212;20;m;beta+/EC;Rn-212;0.57
Fr-212;20;m;alpha;At-208;0.43
Fr-219;0.02;s;alpha;At-215;1
Fr-220;27.4;s;alpha;At-216;0.9965
Fr-220;27.4;s;beta-;Ra-220;0.0035
Fr-221;4.9;m;alpha;At-217;1
Fr-222;14.2;m;beta-;Ra-222;1
Fr-223;22;m;beta-;Ra-223;1
Fr-223;22;m;alpha;At-219;6e-05
Fr-224;3.33;m;beta-;Ra-224;1
Fr-227;2.47;m;beta-;Ra-227;1
Ga-64;2.627;m;beta+/EC;Zn-64;1
Ga-65;15.2;m;beta+/EC;Zn-65;1
Ga-66;9.49;h;beta+/EC;Zn-66;1
Ga-67;3.2612;d;beta+/EC;Zn-67;1
Ga-68;67.71;m;beta+/EC;Zn-68;1
Ga-69;stable;;stable;;
Ga-70;21.14;m;beta-;Ge-70;0.9959
Ga-70;21.14;m;beta+/EC;Zn-70;0.0041
Ga-71;stable;;stable;;
Ga-72;14.1;h;beta-;Ge-72;1
Ga-73;4.86;h;beta-;Ge-73;1
Ga-74;8.12;m;beta-;Ge-74;1
Gd-142;70.2;s;beta+/EC;Eu-142;1
Gd-143m;110;s;beta+/EC;Eu-143;1
Gd-144;4.47;m;beta+/EC;Eu-144;1
Gd-145;23;m;beta+/EC;Eu-145;1
Gd-145m;85;s;IT;Gd-145;0.943
Gd-145m;85;s;beta+/EC;Eu-145;0.057
Gd-146;48.27;d;beta+/EC;Eu-146;1
Gd-147;38.1;h;beta+/EC;Eu-147;1
Gd-148;74.6;y;alpha;Sm-144;1
Gd-149;9.28;d;beta+/EC;Eu-149;1
Gd-150;1790000;y;alpha;Sm-146;1
Gd-151;124;d;beta+/EC;Eu-151;1
Gd-151;124;d;alpha;Sm-147;1e-08
Gd-152;1.08e+14;y;alpha;Sm-148;1
Gd-153;240.4;d;beta+/EC;Eu-153;1
Gd-154;stable;;stable;;
Gd-155;stable;;stable;;
Gd-156;stable;;stable;;
Gd-157;stable;;stable;;
Gd-158;stable;;stable;;
Gd-159;18.479;h;beta-;Tb-159;1
Gd-160;stable;;stable;;
Gd-162;8.4;m;beta-;Tb-162;1
Ge-66;2.26;h;beta+/EC;Ga-66;1
Ge-67;18.9;m;beta+/EC;Ga-67;1
Ge-68;270.95;d;beta+/EC;Ga-68;1
Ge-69;39.05;h;beta+/EC;Ga-69;1
Ge-70;stable;;stable;;
Ge-71;11.43;d;beta+/EC;Ga-71;1
Ge-72;stable;;stable;;
Ge-73;stable;;stable;;
Ge-74;stable;;stable;;
Ge-75;82.78;m;beta-;As-75;1
Ge-77;11.3;h;beta-;As-77;1
Ge-78;88;m;beta-;As-78;1
H-1;stable;;stable;;
H-2;stable;;stable;;
H-3;12.32;y;beta-;He-3;1
He-3;stable;;stable;;
He-4;stable;;stable;;
Hf-167;2.05;m;beta+/EC;Lu-167;1
Hf-169;3.24;m;beta+/EC;Lu-169;0.96904
Hf-169;3.24;m;beta+/EC;Lu-169m;0.03096
Hf-170;16.01;h;beta+/EC;Lu-170;1
Hf-172;1.87;y;beta+/EC;Lu-172m;1
Hf-173;23.6;h;beta+/EC;Lu-173;1
Hf-174;2e+15;y;alpha;Yb-170;1
Hf-175;70;d;beta+/EC;Lu-175;1
Hf-176;stable;;stable;;
Hf-177;stable;;stable;;
Hf-177m;51.4;m;IT;Hf-177;1
Hf-178;stable;;stable;;
Hf-178m;31;y;IT;Hf-178;1
Hf-179;stable;;stable;;
Hf-179m;25.05;d;IT;Hf-179;1
Hf-180;stable;;stable;;
Hf-180m;5.5;h;IT;Hf-180;0.997
Hf-180m;5.5;h;beta-;Ta-180m;0.003
Hf-181;42.39;d;beta-;Ta-181;1
Hf-182;9000000;y;beta-;Ta-182;1
Hf-182m;61.5;m;beta-;Ta-182;0.4907
Hf-182m;61.5;m;IT;Hf-182;0.42
Hf-182m;61.5;m;beta-;Ta-182m;0.08928
Hf-183;1.067;h;beta-;Ta-183;1
Hf-184;4.12;h;beta-;Ta-184;1
Hg-190;20;m;beta+/EC;Au-190;1
Hg-191m;50.8;m;beta+/EC;Au-191;1
Hg-192;4.85;h;beta+/EC;Au-192;1
Hg-193;3.8;h;beta+/EC;Au-193;0.96459
Hg-193;3.8;h;beta+/EC;Au-193m;0.035408
Hg-193m;11.8;h;beta+/EC;Au-193m;0.89197
Hg-193m;11.8;h;IT;Hg-193;0.071
Hg-193m;11.8;h;beta+/EC;Au-193;0.037027
Hg-194;440;y;beta+/EC;Au-194;1
Hg-195;10.53;h;beta+/EC;Au-195;1
Hg-195m;41.6;h;IT;Hg-195;0.542
Hg-195m;41.6;h;beta+/EC;Au-195;0.458
Hg-196;stable;;stable;;
Hg-197;64.94;h;beta+/EC;Au-197;1
Hg-197m;23.8;h;IT;Hg-197;0.914
Hg-197m;23.8;h;beta+/EC;Au-197;0.086
Hg-198;stable;;stable;;
Hg-199;stable;;stable;;
Hg-199m;42.66;m;IT;Hg-199;1
Hg-200;stable;;stable;;
Hg-201;stable;;stable;;
Hg-202;stable;;stable;;
Hg-203;46.612;d;beta-;Tl-203;1
Hg-204;stable;;stable;;
Hg-205;5.2;m;beta-;Tl-205;1
Hg-206;8.15;m;beta-;Tl-206;1
Hg-207;2.9;m;beta-;Tl-207;1
Ho-150;76.8;s;beta+/EC;Dy-150;1
Ho-153;2.01;m;beta+/EC;Dy-153;0.99949
Ho-153;2.01;m;alpha;Tb-149m;0.00051
Ho-153m;9.3;m;beta+/EC;Dy-153;0.9982
Ho-153m;9.3;m;alpha;Tb-149;0.0018
Ho-154;11.76;m;beta+/EC;Dy-154;0.99981
Ho-154;11.76;m;alpha;Tb-150;0.00019
Ho-154m;3.1;m;beta+/EC;Dy-154;1
Ho-154m;3.1;m;alpha;Tb-150m;1e-05
Ho-155;48;m;beta+/EC;Dy-155;1
Ho-156;56;m;beta+/EC;Dy-156;1
Ho-157;12.6;m;beta+/EC;Dy-157;1
Ho-159;33.05;m;beta+/EC;Dy-159;1
Ho-160;25.6;m;beta+/EC;Dy-160;1
Ho-161;2.48;h;beta+/EC;Dy-161;1
Ho-162;15;m;beta+/EC;Dy-162;1
Ho-162m;67;m;IT;Ho-162;0.62
Ho-162m;67;m;beta+/EC;Dy-162;0.38
Ho-163;4570;y;beta+/EC;Dy-163;1
Ho-164;29;m;beta+/EC;Dy-164;0.6
Ho-164;29;m;beta-;Er-164;0.4
Ho-164m;38;m;IT;Ho-164;1
Ho-165;stable;;stable;;
Ho-166;26.8;h;beta-;Er-166;1
Ho-166m;1200;y;beta-;Er-166;1
Ho-167;3.1;h;beta-;Er-167;1
Ho-168;2.99;m;beta-;Er-168;1
Ho-168m;132;s;IT;Ho-168;1
Ho-170;2.76;m;beta-;Er-170;1
I-118;13.7;m;beta+/EC;Te-118;1
I-118m;8.5;m;beta+/EC;Te-118;1
I-119;19.1;m;beta+/EC;Te-119;0.99046
I-119;19.1;m;beta+/EC;Te-119m;0.0095421
I-120;81.6;m;beta+/EC;Te-120;1
I-120m;53;m;beta+/EC;Te-120;1
I-121;2.12;h;beta+/EC;Te-121;0.99714
I-121;2.12;h;beta+/EC;Te-121m;0.0028631
I-122;3.63;m;beta+/EC;Te-122;1
I-123;13.27;h;beta+/EC;Te-123;0.99996
I-123;13.27;h;beta+/EC;Te-123m;4.442e-05
I-124;4.176;d;beta+/EC;Te-124;1
I-125;59.4;d;beta+/EC;Te-125;1
I-126;12.93;d;beta+/EC;Te-126;0.527
I-126;12.93;d;beta-;Xe-126;0.473
I-127;stable;;stable;;
I-128;24.99;m;beta-;Xe-128;0.931
I-128;24.99;m;beta+/EC;Te-128;0.069
I-129;15700000;y;beta-;Xe-129;1
I-130;12.36;h;beta-;Xe-130;1
I-130m;8.84;m;IT;I-130;0.84
I-130m;8.84;m;beta-;Xe-130;0.16
I-131;8.0207;d;beta-;Xe-131;0.98824
I-131;8.0207;d;beta-;Xe-131m;0.011759
I-132;2.295;h;beta-;Xe-132;1
I-132m;1.387;h;IT;I-132;0.86
I-132m;1.387;h;beta-;Xe-132;0.14
I-133;20.8;h;beta-;Xe-133;0.97115
I-133;20.8;h;beta-;Xe-133m;0.028846
I-134;52.5;m;beta-;Xe-134;1
I-134m;3.6;m;IT;I-134;0.977
I-134m;3.6;m;beta-;Xe-134;0.023
I-135;6.57;h;beta-;Xe-135;0.83432
I-135;6.57;h;beta-;Xe-135m;0.16568
In-103;60;s;beta+/EC;Cd-103;1
In-105;5.07;m;beta+/EC;Cd-105;1
In-106;6.2;m;beta+/EC;Cd-106;1
In-106m;5.2;m;beta+/EC;Cd-106;1
In-107;32.4;m;beta+/EC;Cd-107;1
In-108;58;m;beta+/EC;Cd-108;1
In-108m;39.6;m;beta+/EC;Cd-108;1
In-109;4.2;h;beta+/EC;Cd-109;1
In-109m;1.34;m;IT;In-109;1
In-110;4.9;h;beta+/EC;Cd-110;1
In-110m;69.1;m;beta+/EC;Cd-110;1
In-111;2.8047;d;beta+/EC;Cd-111;0.99995
In-111;2.8047;d;beta+/EC;Cd-111m;4.9998e-05
In-111m;7.7;m;IT;In-111;1
In-112;14.97;m;beta+/EC;Cd-112;0.56
In-112;14.97;m;beta-;Sn-112;0.44
In-112m;20.56;m;IT;In-112;1
In-113;stable;;stable;;
In-113m;1.6579;h;IT;In-113;1
In-114;71.9;s;beta-;Sn-114;0.995
In-114;71.9;s;beta+/EC;Cd-114;0.005
In-114m;49.51;d;IT;In-114;0.9675
In-114m;49.51;d;beta+/EC;Cd-114;0.0325
In-115;4.41e+14;y;beta-;Sn-115;1
In-115m;4.486;h;IT;In-115;0.95
In-115m;4.486;h;beta-;Sn-115;0.05
In-116m;54.41;m;beta-;Sn-116;1
In-117;43.2;m;beta-;Sn-117;0.99647
In-117;43.2;m;beta-;Sn-117m;0.0035321
In-117m;116.2;m;beta-;Sn-117;0.529
In-117m;116.2;m;IT;In-117;0.471
In-118;5;s;beta-;Sn-118;1
In-118m;4.364;m;beta-;Sn-118;1
In-119;2.4;m;beta-;Sn-119;0.99052
In-119;2.4;m;beta-;Sn-119m;0.0094773
In-119m;18;m;beta-;Sn-119;0.944
In-119m;18;m;IT;In-119;0.056
In-121;23.1;s;beta-;Sn-121;0.8865
In-121;23.1;s;beta-;Sn-121m;0.1135
In-121m;3.88;m;beta-;Sn-121;0.988
In-121m;3.88;m;IT;In-121;0.012
Ir-180;1.5;m;beta+/EC;Os-180;1
Ir-182;15;m;beta+/EC;Os-182;1
Ir-183;58;m;beta+/EC;Os-183m;0.70972
Ir-183;58;m;beta+/EC;Os-183;0.29028
Ir-184;3.09;h;beta+/EC;Os-184;1
Ir-185;14.4;h;beta+/EC;Os-185;1
Ir-186;16.64;h;beta+/EC;Os-186;1
Ir-186m;1.92;h;beta+/EC;Os-186;0.75
Ir-186m;1.92;h;IT;Ir-186;0.25
Ir-187;10.5;h;beta+/EC;Os-187;1
Ir-188;41.5;h;beta+/EC;Os-188;1
Ir-189;13.2;d;beta+/EC;Os-189;0.92574
Ir-189;13.2;d;beta+/EC;Os-189m;0.074264
Ir-190;11.78;d;beta+/EC;Os-190;1
Ir-190m;1.12;h;IT;Ir-190;1
Ir-190n;3.087;h;beta+/EC;Os-190m;0.914
Ir-190n;3.087;h;IT;Ir-190;0.086
Ir-191;stable;;stable;;
Ir-191m;4.94;s;IT;Ir-191;1
Ir-192;73.827;d;beta-;Pt-192;0.9513
Ir-192;73.827;d;beta+/EC;Os-192;0.0487
Ir-192m;1.45;m;IT;Ir-192;0.99983
Ir-192m;1.45;m;beta-;Pt-192;0.000175
Ir-192n;241;y;IT;Ir-192;1
Ir-193;stable;;stable;;
Ir-193m;10.53;d;IT;Ir-193;1
Ir-194;19.28;h;beta-;Pt-194;1
Ir-194m;171;d;beta-;Pt-194;1
Ir-195;2.5;h;beta-;Pt-195;1
Ir-195m;3.8;h;beta-;Pt-195;0.51308
Ir-195m;3.8;h;beta-;Pt-195m;0.43692
Ir-195m;3.8;h;IT;Ir-195;0.05
Ir-196;52;s;beta-;Pt-196;1
Ir-196m;1.4;h;beta-;Pt-196;1
K-38;7.636;m;beta+/EC;Ar-38;1
K-39;stable;;stable;;
K-40;1251000000;y;beta-;Ca-40;0.8914
K-40;1251000000;y;beta+/EC;Ar-40;0.1086
K-41;stable;;stable;;
K-42;12.36;h;beta-;Ca-42;1
K-43;22.3;h;beta-;Ca-43;1
K-44;22.13;m;beta-;Ca-44;1
K-45;17.3;m;beta-;Ca-45;1
K-46;105;s;beta-;Ca-46;1
Kr-74;11.5;m;beta+/EC;Br-74;1
Kr-75;4.29;m;beta+/EC;Br-75;1
Kr-76;14.8;h;beta+/EC;Br-76;0.99189
Kr-76;14.8;h;beta+/EC;Br-76m;0.0081144
Kr-77;74.4;m;beta+/EC;Br-77;0.90386
Kr-77;74.4;m;beta+/EC;Br-77m;0.096135
Kr-78;stable;;stable;;
Kr-79;35.04;h;beta+/EC;Br-79;1
Kr-80;stable;;stable;;
Kr-81;229000;y;beta+/EC;Br-81;1
Kr-81m;13.1;s;IT;Kr-81;0.99998
Kr-81m;13.1;s;beta+/EC;Br-81;2.5e-05
Kr-82;stable;;stable;;
Kr-83;stable;;stable;;
Kr-83m;1.83;h;IT;Kr-83;1
Kr-84;stable;;stable;;
Kr-85;10.756;y;beta-;Rb-85;1
Kr-85m;4.48;h;beta-;Rb-85;0.786
Kr-85m;4.48;h;IT;Kr-85;0.214
Kr-86;stable;;stable;;
Kr-87;76.3;m;beta-;Rb-87;1
Kr-88;2.84;h;beta-;Rb-88;1
Kr-89;3.15;m;beta-;Rb-89;1
La-128;5.18;m;beta+/EC;Ba-128;1
La-129;11.6;m;beta+/EC;Ba-129;0.92384
La-129;11.6;m;beta+/EC;Ba-129m;0.076164
La-130;8.7;m;beta+/EC;Ba-130;1
La-131;59;m;beta+/EC;Ba-131;1
La-132;4.8;h;beta+/EC;Ba-132;1
La-132m;24.3;m;IT;La-132;0.76
La-132m;24.3;m;beta+/EC;Ba-132;0.24
La-133;3.912;h;beta+/EC;Ba-133;1
La-134;6.45;m;beta+/EC;Ba-134;1
La-135;19.5;h;beta+/EC;Ba-135;1
La-136;9.87;m;beta+/EC;Ba-136;1
La-137;60000;y;beta+/EC;Ba-137;1
La-138;1.02e+11;y;beta+/EC;Ba-138;0.664
La-138;1.02e+11;y;beta-;Ce-138;0.336
La-139;stable;;stable;;
La-140;1.6781;d;beta-;Ce-140;1
La-141;3.92;h;beta-;Ce-141;1
La-142;91.1;m;beta-;Ce-142;1
La-143;14.2;m;beta-;Ce-143;1
Li-6;stable;;stable;;
Li-7;stable;;stable;;
Lu-165;10.74;m;beta+/EC;Yb-165;1
Lu-167;51.5;m;beta+/EC;Yb-167;1
Lu-169;34.06;h;beta+/EC;Yb-169;1
Lu-169m;160;s;IT;Lu-169;1
Lu-170;2.012;d;beta+/EC;Yb-170;1
Lu-171;8.24;d;beta+/EC;Yb-171;1
Lu-171m;79;s;IT;Lu-171;1
Lu-172;6.7;d;beta+/EC;Yb-172;1
Lu-172m;3.7;m;IT;Lu-172;1
Lu-173;1.37;y;beta+/EC;Yb-173;1
Lu-174;3.31;y;beta+/EC;Yb-174;1
Lu-174m;142;d;IT;Lu-174;0.9938
Lu-174m;142;d;beta+/EC;Yb-174;0.0062
Lu-175;stable;;stable;;
Lu-176;3.85e+10;y;beta-;Hf-176;1
Lu-176m;3.635;h;beta-;Hf-176;0.99905
Lu-176m;3.635;h;beta+/EC;Yb-176;0.00095
Lu-177;6.647;d;beta-;Hf-177;1
Lu-177m;160.4;d;beta-;Hf-177;0.783
Lu-177m;160.4;d;IT;Lu-177;0.217
Lu-178;28.4;m;beta-;Hf-178;1
Lu-178m;23.1;m;beta-;Hf-178;1
Lu-179;4.59;h;beta-;Hf-179;1
Lu-180;5.7;m;beta-;Hf-180;1
Lu-181;3.5;m;beta-;Hf-181;1
Mg-24;stable;;stable;;
Mg-25;stable;;stable;;
Mg-26;stable;;stable;;
Mg-27;9.458;m;beta-;Al-27;1
Mg-28;20.915;h;beta-;Al-28;1
Mn-50m;1.75;m;beta+/EC;Cr-50;1
Mn-51;46.2;m;beta+/EC;Cr-51;1
Mn-52;5.591;d;beta+/EC;Cr-52;1
Mn-52m;21.1;m;beta+/EC;Cr-52;0.9825
Mn-52m;21.1;m;IT;Mn-52;0.0175
Mn-53;3700000;y;beta+/EC;Cr-53;1
Mn-54;312.12;d;beta+/EC;Cr-54;1
Mn-54;312.12;d;beta-;Fe-54;2.9e-06
Mn-55;stable;;stable;;
Mn-56;2.5789;h;beta-;Fe-56;1
Mn-57;85.4;s;beta-;Fe-57;1
Mn-58m;65.2;s;beta-;Fe-58;1
Mo-101;14.61;m;beta-;Tc-101;1
Mo-102;11.3;m;beta-;Tc-102;1
Mo-89;2.11;m;beta+/EC;Nb-89;1
Mo-90;5.56;h;beta+/EC;Nb-90;1
Mo-91;15.49;m;beta+/EC;Nb-91;0.99966
Mo-91;15.49;m;beta+/EC;Nb-91m;0.00034232
Mo-91m;64.6;s;IT;Mo-91;0.5
Mo-91m;64.6;s;beta+/EC;Nb-91m;0.5
Mo-92;stable;;stable;;
Mo-93;4000;y;beta+/EC;Nb-93m;0.88
Mo-93;4000;y;beta+/EC;Nb-93;0.12
Mo-93m;6.85;h;IT;Mo-93;0.9988
Mo-93m;6.85;h;beta+/EC;Nb-93;0.0012
Mo-94;stable;;stable;;
Mo-95;stable;;stable;;
Mo-96;stable;;stable;;
Mo-97;stable;;stable;;
Mo-98;stable;;stable;;
Mo-99;65.94;h;beta-;Tc-99m;0.8773
Mo-99;65.94;h;beta-;Tc-99;0.1227
N-13;9.965;m;beta+/EC;C-13;1
N-14;stable;;stable;;
N-15;stable;;stable;;
N-16;7.13;s;beta-;O-16;1
Na-22;2.6019;y;beta+/EC;Ne-22;1
Na-23;stable;;stable;;
Na-24;14.959;h;beta-;Mg-24;1
Nb-87;3.75;m;beta+/EC;Zr-87;1
Nb-88;14.5;m;beta+/EC;Zr-88;1
Nb-88m;7.78;m;beta+/EC;Zr-88;1
Nb-89;2.03;h;beta+/EC;Zr-89;0.98772
Nb-89;2.03;h;beta+/EC;Zr-89m;0.012278
Nb-89m;66;m;beta+/EC;Zr-89m;1
Nb-90;14.6;h;beta+/EC;Zr-90;1
Nb-91;680;y;beta+/EC;Zr-91;1
